student_id,student_name,email,class,attendance,assignment_score,quiz_score,midterm_score,previous_result,study_hours_per_day,extracurricular_activities,final_score,grade,risk_level,timestamp
STU0001,Student_1,student1@school.edu,9B,41.5,49.25,45.62,81.55,75.6,7.1,0,61.51,C,Medium,2026-03-26T16:37:39.294593
STU0002,Student_2,student2@school.edu,10B,53.96,72.14,69.29,80.12,77.08,3.4,3,72.08,B,Low,2026-04-17T16:37:39.294593
STU0003,Student_3,student3@school.edu,10A,81.89,53.82,40.88,97.0,55.2,0.7,0,60.27,C,Medium,2026-02-10T16:37:39.294593
STU0004,Student_4,student4@school.edu,9A,83.78,67.54,98.12,56.5,68.12,6.6,4,76.38,B,Low,2026-02-28T16:37:39.294593
STU0005,Student_5,student5@school.edu,9B,42.75,45.95,50.26,35.59,48.97,0.8,2,38.36,F,High,2026-01-15T16:37:39.294593
STU0006,Student_6,student6@school.edu,10A,62.21,44.67,48.69,95.57,73.88,4.9,1,65.71,C,Medium,2026-02-15T16:37:39.294593
STU0007,Student_7,student7@school.edu,10A,67.74,48.9,94.78,78.17,48.18,2.6,0,59.06,D,Medium,2026-01-28T16:37:39.294593
STU0008,Student_8,student8@school.edu,12A,56.06,44.77,96.0,91.35,53.88,5.2,3,71.72,B,Low,2026-03-13T16:37:39.294593
STU0009,Student_9,student9@school.edu,11A,48.38,82.15,67.73,82.29,60.71,4.7,2,63.87,C,Medium,2026-03-14T16:37:39.294593
STU0010,Student_10,student10@school.edu,12B,45.45,33.3,37.68,73.92,82.52,3.4,0,52.11,D,Medium,2025-12-20T16:37:39.294593
STU0011,Student_11,student11@school.edu,11A,98.26,90.25,30.8,80.45,75.9,4.3,2,76.84,B,Low,2026-01-21T16:37:39.294593
STU0012,Student_12,student12@school.edu,9B,57.61,41.07,30.23,80.55,78.18,7.8,1,60.32,C,Medium,2026-03-22T16:37:39.294593
STU0013,Student_13,student13@school.edu,11A,90.5,65.54,43.92,56.17,44.69,7.6,4,64.46,C,Medium,2025-12-14T16:37:39.294593
STU0014,Student_14,student14@school.edu,9A,46.71,55.41,98.97,86.47,49.37,1.9,4,67.83,C,Medium,2025-12-15T16:37:39.294593
STU0015,Student_15,student15@school.edu,9B,98.68,67.29,38.8,76.18,91.81,1.3,4,77.44,B,Low,2026-02-23T16:37:39.294593
STU0016,Student_16,student16@school.edu,10B,82.78,57.93,77.02,56.14,88.98,3.6,1,66.05,C,Medium,2026-01-22T16:37:39.294593
STU0017,Student_17,student17@school.edu,9A,75.3,46.11,45.42,34.97,72.87,1.8,0,53.46,D,Medium,2026-02-17T16:37:39.294593
STU0018,Student_18,student18@school.edu,11A,80.14,45.0,39.26,95.49,69.26,3.8,3,69.6,C,Medium,2026-03-25T16:37:39.294593
STU0019,Student_19,student19@school.edu,12A,61.26,58.78,90.47,33.79,74.21,5.2,0,57.47,D,Medium,2026-03-22T16:37:39.294593
STU0020,Student_20,student20@school.edu,10B,51.5,67.54,39.81,42.84,62.76,7.0,0,49.88,F,High,2025-11-29T16:37:39.294593
STU0021,Student_21,student21@school.edu,9B,43.04,99.95,88.52,97.83,90.58,6.8,1,84.19,A,Low,2025-12-16T16:37:39.294593
STU0022,Student_22,student22@school.edu,10B,91.88,93.17,41.52,30.15,58.43,7.4,3,60.52,C,Medium,2025-11-27T16:37:39.294593
STU0023,Student_23,student23@school.edu,12B,49.29,50.77,97.81,70.54,67.53,6.0,0,59.19,D,Medium,2025-12-04T16:37:39.294593
STU0024,Student_24,student24@school.edu,10A,43.41,65.55,89.59,34.8,39.08,6.9,3,48.88,F,High,2026-02-14T16:37:39.294593
STU0025,Student_25,student25@school.edu,9A,77.16,59.35,70.86,66.59,91.08,1.6,5,68.78,C,Medium,2026-03-16T16:37:39.294593
STU0026,Student_26,student26@school.edu,11A,67.43,95.03,95.5,30.65,72.27,4.5,0,61.75,C,Medium,2026-02-10T16:37:39.294593
STU0027,Student_27,student27@school.edu,10A,96.0,91.66,91.55,55.87,44.46,6.7,5,71.66,B,Low,2025-11-02T16:37:39.294593
STU0028,Student_28,student28@school.edu,9A,80.07,68.82,95.22,37.25,87.69,2.1,0,69.39,C,Medium,2026-02-05T16:37:39.294593
STU0029,Student_29,student29@school.edu,10B,83.06,44.25,74.4,48.48,64.31,7.2,0,54.96,D,Medium,2026-02-07T16:37:39.294593
STU0030,Student_30,student30@school.edu,9A,40.21,83.98,74.6,48.34,79.47,4.4,3,64.56,C,Medium,2025-10-24T16:37:39.294593
STU0031,Student_31,student31@school.edu,10A,72.74,88.42,70.78,40.37,42.65,2.5,0,59.64,D,Medium,2026-02-14T16:37:39.294593
STU0032,Student_32,student32@school.edu,9B,61.22,69.19,91.23,98.17,79.97,7.4,1,83.87,A,Low,2026-03-04T16:37:39.294593
STU0033,Student_33,student33@school.edu,12A,41.49,81.56,53.25,95.16,83.13,6.9,1,71.1,B,Low,2025-10-21T16:37:39.294593
STU0034,Student_34,student34@school.edu,9B,62.95,32.71,62.95,43.97,90.11,2.8,1,52.31,D,Medium,2025-11-01T16:37:39.294593
STU0035,Student_35,student35@school.edu,10B,63.91,49.5,34.86,84.13,56.07,4.1,5,63.61,C,Medium,2026-04-11T16:37:39.295581
STU0036,Student_36,student36@school.edu,9B,92.62,48.29,70.64,98.85,37.3,4.8,2,68.35,C,Medium,2026-01-28T16:37:39.295581
STU0037,Student_37,student37@school.edu,12A,76.37,65.8,56.96,70.36,50.28,5.7,0,60.07,C,Medium,2025-10-25T16:37:39.295581
STU0038,Student_38,student38@school.edu,10B,61.85,34.9,76.5,53.11,53.83,6.8,5,59.1,D,Medium,2025-10-30T16:37:39.295581
STU0039,Student_39,student39@school.edu,12A,59.57,78.8,68.81,43.43,74.9,3.0,5,67.06,C,Medium,2026-01-31T16:37:39.295581
STU0040,Student_40,student40@school.edu,12A,72.88,30.03,50.08,60.09,69.8,5.2,3,56.49,D,Medium,2025-12-09T16:37:39.295581
STU0041,Student_41,student41@school.edu,12B,87.62,97.19,81.52,76.12,52.03,5.3,4,75.94,B,Low,2026-02-17T16:37:39.295581
STU0042,Student_42,student42@school.edu,11A,53.48,43.94,31.71,47.14,63.51,6.8,0,45.49,F,High,2025-11-22T16:37:39.295581
STU0043,Student_43,student43@school.edu,10B,83.1,56.88,57.98,40.33,76.26,7.1,0,63.19,C,Medium,2025-10-22T16:37:39.295581
STU0044,Student_44,student44@school.edu,12B,43.01,47.44,89.38,61.95,83.08,5.3,4,66.82,C,Medium,2025-12-26T16:37:39.295581
STU0045,Student_45,student45@school.edu,12A,89.83,68.35,92.8,82.06,63.48,2.1,1,76.99,B,Low,2026-02-07T16:37:39.295581
